新闻标题,新闻内容,发布时间,文章来源,新闻链接
汽车行业今日净流出资金40.53亿元，比亚迪等11股净流出资金超亿元,603766 隆鑫通用 0.62 1.76 1584.49 600741 华域汽车 2.03 0.65 1506.01 605128 上海沿浦 0.46 2.71 1388.50 汽车行业资金流出榜  代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 002594,2026-06-22 16:58:00,证券时报网,http://finance.eastmoney.com/a/202606223778087849.html
多只锂电池概念股获机构积极关注 7只机构评级股融资净买入超10亿元,从个股来看，6月以来共有16股获3家及以上机构评级，其中比亚迪（002594）、太阳纸业（002078）、比音勒芬（002832）获机构评级家数居前，分别有9家、8家、8家。,2026-06-20 08:28:50,数据宝,http://finance.eastmoney.com/a/202606203776908376.html
86股特大单净流入资金超2亿元,电力设备 300014 亿纬锂能 67.54 0.99 -5.28 电力设备 600111 北方稀土 50.32 -3.19 -5.12 有色金属 603256 宏和科技 258.90 2.92 -4.97 建筑材料 688313 仕佳光子 169.52 -1.96 -4.96 通信 002594,2026-06-17 17:00:00,证券时报网,http://finance.eastmoney.com/a/202606173774636994.html
比亚迪公告回应被美国国防部列入中国军工企业名单：此举无正当理由 该名单非制裁名单且不影响公司正常业务,比亚迪002594.SZ)公告称，公司注意到美国国防部于2026年6月8日发布通知，将公司列入中国军工企业名单。比亚迪认为此举无正当理由，因公司既非中国军工企业，也非军民融合企业。,2026-06-09 20:25:07,财联社,http://finance.eastmoney.com/a/202606093765329683.html
比亚迪：第二代刀片电池产能供不应求 闪充技术发布后订单爆发式增长,比亚迪002594.SZ)在投资者关系活动记录表中披露，3月公司第二代刀片电池及闪充技术推出后，订单出现爆发式增长，目前产能供不应求，公司正努力提升第二代刀片电池产能以满足订单需求。明年第二代刀片电池产能释放后，国内国际市场将同时发力，闪充生态也将落地全球。,2026-06-10 17:53:25,科创板日报,http://finance.eastmoney.com/a/202606103766800975.html
两年两起员工产线身故：地通控股九成收入靠吉利,这家拥有14个生产基地、客户覆盖吉利（00175.HK）、一汽、比亚迪（002594.SZ）等主流车企的“一级供应商”，存在对单一大客户吉利的“寄生式”依赖、不可忽视的安全生产记录，以及捉襟见肘的财务状况等关注点。 总部位于湖南湘潭，地通控股设立于2008年。,2026-06-15 19:55:00,财中社,http://finance.eastmoney.com/a/202606153771889788.html
比亚迪回应被列入美国国防部列入中国军工企业名单：此举无正当理由,6月9日，比亚迪（002594/01211/81211）发布公告，公司注意到，美国国防部于2026年6月8日（美国时间）发布《关于指定中国军工企业的通知》。根据该通知，美国国防部已将本公司列入中国军工企业名单。,2026-06-09 20:48:00,财中社,http://finance.eastmoney.com/a/202606093765346879.html
比亚迪王传福：今年的销量将取决于电池产量 更大的产量将在明年,6月9日，比亚迪（002594.SZ）董事长兼总裁王传福在股东大会上表示，今天有约一千人参与股东大会，创历史新高。 王传福表示，二代刀片电池和闪充技术解决了电动化一大痛点，受到了来自国内外的很高评价。,2026-06-09 12:59:00,澎湃新闻,http://finance.eastmoney.com/a/202606093764887534.html
王传福回应股价被低估：还没能反映比亚迪潜力 会实现更好的股东回报,6月9日，比亚迪（002594.SZ，1211.HK）董事长兼总裁王传福在股东大会上回应公司股价被低估的问题时表示，“我们的潜力大家都很认同，但是现在我们的股价还没能反映。我代表管理层理解并感谢大家的支持。”,2026-06-09 16:54:00,澎湃新闻,http://finance.eastmoney.com/a/202606093765159122.html
法拉利开怼：智界引入首席遭质疑,此前，洛佩兹离职法拉利后，先后入职比亚迪（002594.SZ）、小鹏集团（XPEV/09868.HK），目前仍就职于小鹏。截至发稿，智界尚未就此发布澄清声明。,2026-06-12 20:49:00,财中社,http://finance.eastmoney.com/a/202606123770160259.html
