date,pe_value,pb_value
2011-07-07,72.81,4.23
2011-07-15,64.62,3.75
2011-07-23,63.73,3.7
2011-07-31,61.06,3.54
2011-08-08,56.88,3.3
2011-08-16,59.85,3.47
2011-08-24,160.47,3.02
2011-09-01,150.25,2.82
2011-09-09,140.52,2.64
2011-09-17,129.61,2.44
2011-09-25,120.45,2.26
2011-10-03,120.32,2.26
2011-10-11,112.41,2.11
2011-10-19,121.01,2.28
2011-10-27,134.97,2.54
2011-11-04,132.88,2.93
2011-11-12,123.64,2.73
2011-11-20,133.3,2.94
2011-11-28,130.59,2.88
2011-12-06,118.23,2.61
2011-12-14,114.94,2.53
2011-12-22,116.48,2.57
2011-12-30,120.99,2.67
2012-01-07,116.11,2.56
2012-01-15,126.67,2.79
2012-01-23,129.05,2.85
2012-01-31,126.03,2.78
2012-02-08,141.05,3.11
2012-02-16,137.81,3.04
2012-02-24,140.73,3.1
2012-03-03,43.88,3.06
2012-03-11,45.94,3.2
2012-03-19,44.23,3.09
2012-03-27,45.77,3.0
2012-04-04,48.11,3.15
2012-04-12,53.39,3.5
2012-04-20,47.25,3.1
2012-04-28,52.97,2.87
2012-05-06,54.71,2.96
2012-05-14,51.14,2.77
2012-05-22,51.14,2.77
2012-05-30,50.29,2.72
2012-06-07,46.9,2.54
2012-06-15,47.56,2.57
2012-06-23,46.72,2.53
2012-07-01,40.83,2.21
2012-07-09,39.15,2.12
2012-07-17,34.87,1.89
2012-07-25,33.51,1.81
2012-08-02,29.4,1.59
2012-08-10,31.73,1.72
2012-08-18,29.9,1.62
2012-08-26,30.66,1.66
2012-09-03,32.69,1.74
2012-09-11,35.14,1.87
2012-09-19,33.28,1.77
2012-09-27,29.55,1.58
2012-10-05,29.95,1.6
2012-10-13,31.65,1.69
2012-10-21,32.42,1.73
2012-10-29,30.01,1.6
2012-11-06,34.82,1.73
2012-11-14,36.34,1.81
2012-11-22,36.38,1.81
2012-11-30,34.5,1.72
2012-12-08,36.76,1.83
2012-12-16,37.99,1.89
2012-12-24,43.27,2.15
2013-01-01,45.5,2.26
2013-01-09,47.54,2.37
2013-01-17,49.84,2.48
2013-01-25,50.22,2.5
2013-02-02,52.77,2.63
2013-02-10,56.86,2.83
2013-02-18,60.75,3.02
2013-02-26,55.48,2.76
2013-03-06,738.47,2.83
2013-03-14,676.57,2.59
2013-03-22,680.06,2.6
2013-03-30,638.45,2.45
2013-04-07,628.61,2.41
2013-04-15,593.9,2.28
2013-04-23,672.87,2.58
2013-05-01,346.64,2.71
2013-05-09,460.87,3.6
2013-05-17,513.96,4.02
2013-05-25,494.19,3.86
2013-06-02,498.29,3.89
2013-06-10,464.54,3.63
2013-06-18,490.52,3.83
2013-06-26,433.48,3.39
2013-07-04,544.32,4.25
2013-07-12,503.65,3.94
2013-07-20,498.57,3.9
2013-07-28,482.33,3.77
2013-08-05,495.6,3.87
2013-08-13,509.44,3.98
2013-08-21,477.95,3.74
2013-08-29,158.74,3.62
2013-09-06,174.72,3.98
2013-09-14,193.86,4.42
2013-09-22,186.59,4.25
2013-09-30,188.31,4.29
2013-10-08,192.09,4.38
2013-10-16,181.33,4.13
2013-10-24,194.63,4.44
2013-11-01,170.51,4.15
2013-11-09,157.17,3.82
2013-11-17,160.79,3.91
2013-11-25,163.61,3.98
2013-12-03,161.06,3.92
2013-12-11,166.97,4.06
2013-12-19,168.23,4.09
2013-12-27,165.54,4.02
2014-01-04,172.04,4.18
2014-01-12,165.76,4.03
2014-01-20,165.76,4.03
2014-01-28,180.05,4.38
2014-02-05,173.11,4.21
2014-02-13,219.47,5.34
2014-02-21,209.17,5.09
2014-03-01,242.35,6.2
2014-03-09,238.47,6.1
2014-03-17,227.78,5.82
2014-03-25,212.66,5.42
2014-04-02,207.29,5.28
2014-04-10,217.08,5.53
2014-04-18,209.76,5.34
2014-04-26,239.97,5.0
2014-05-04,240.38,5.01
2014-05-12,217.55,4.53
2014-05-20,211.62,4.41
2014-05-28,248.6,5.18
2014-06-05,248.07,5.17
2014-06-13,261.47,5.45
2014-06-21,254.91,5.31
2014-06-29,267.55,5.57
2014-07-07,261.2,5.44
2014-07-15,260.98,5.44
2014-07-23,260.93,5.44
2014-07-31,277.39,5.78
2014-08-08,281.44,5.86
2014-08-16,282.26,5.88
2014-08-24,273.4,5.7
2014-09-01,259.85,4.99
2014-09-09,275.31,5.29
2014-09-17,255.63,4.91
2014-09-25,249.42,4.79
2014-10-03,248.36,4.77
2014-10-11,251.76,4.84
2014-10-19,243.47,4.68
2014-10-27,237.83,4.57
2014-11-04,240.61,4.53
2014-11-12,227.94,4.29
2014-11-20,221.19,4.16
2014-11-28,224.82,4.23
2014-12-06,225.13,4.24
2014-12-14,219.53,4.13
2014-12-22,180.74,3.4
2014-12-30,197.62,3.72
2015-01-07,202.18,3.81
2015-01-15,202.91,3.82
2015-01-23,208.26,3.92
2015-01-31,198.65,3.74
2015-02-08,188.11,3.54
2015-02-16,238.01,4.48
2015-02-24,261.79,4.93
2015-03-04,293.94,5.08
2015-03-12,277.71,4.8
2015-03-20,298.52,5.16
2015-03-28,298.8,5.17
2015-04-05,350.39,5.99
2015-04-13,338.11,5.78
2015-04-21,320.46,5.48
2015-04-29,279.27,5.94
2015-05-07,268.14,5.71
2015-05-15,277.58,5.91
2015-05-23,346.87,7.38
2015-05-31,346.87,7.38
2015-06-08,342.07,7.28
2015-06-16,332.58,7.08
2015-06-24,290.18,6.17
2015-07-02,224.87,4.78
2015-07-10,246.78,5.25
2015-07-18,253.53,5.39
2015-07-26,253.71,5.4
2015-08-03,263.71,5.61
2015-08-11,299.86,6.38
2015-08-19,266.9,5.68
2015-08-27,224.01,4.68
2015-09-04,210.2,4.39
2015-09-12,242.55,5.06
2015-09-20,253.25,5.29
2015-09-28,283.63,5.92
2015-10-06,275.42,5.75
2015-10-14,269.17,5.62
2015-10-22,281.98,5.89
2015-10-30,82.82,6.09
2015-11-07,83.62,6.15
2015-11-15,87.27,6.42
2015-11-23,80.11,5.89
2015-12-01,76.47,5.62
2015-12-09,77.61,5.71
2015-12-17,78.75,5.79
2015-12-25,78.32,5.76
2016-01-02,79.49,5.85
2016-01-10,73.36,5.39
2016-01-18,71.2,5.24
2016-01-26,61.68,4.54
2016-02-03,62.22,4.58
2016-02-11,61.8,4.55
2016-02-19,67.01,4.93
2016-02-27,45.81,4.75
2016-03-06,46.99,4.87
2016-03-14,46.67,4.84
2016-03-22,50.5,5.24
2016-03-30,51.56,5.0
2016-04-07,50.03,4.86
2016-04-15,51.07,4.96
2016-04-23,54.28,5.27
2016-05-01,44.4,5.38
2016-05-09,41.11,4.99
2016-05-17,42.05,5.1
2016-05-25,41.2,5.0
2016-06-02,41.75,5.06
2016-06-10,42.05,5.1
2016-06-18,41.26,5.0
2016-06-26,41.19,4.99
2016-07-04,42.82,5.19
2016-07-12,42.56,5.16
2016-07-20,43.55,5.28
2016-07-28,45.88,5.56
2016-08-05,45.12,5.47
2016-08-13,45.51,5.52
2016-08-21,45.96,5.57
2016-08-29,34.45,5.12
2016-09-06,35.17,5.23
2016-09-14,33.1,4.92
2016-09-22,33.74,5.02
2016-09-30,32.85,4.89
2016-10-08,32.85,4.89
2016-10-16,33.84,5.03
2016-10-24,33.66,5.01
2016-11-01,33.98,3.29
2016-11-09,33.21,3.21
2016-11-17,33.6,3.25
2016-11-25,33.39,3.23
2016-12-03,33.0,3.19
2016-12-11,31.79,3.08
